order_id,order_date,customer_id,product,region,quantity,unit_price
ORD-000106,2024-05-18,CUST-00839,USB-C Hub,South,1,37.88
ORD-000107,2025-05-13,CUST-00754,Mechanical Keyboard,South,3,76.0
ORD-000108,2025-08-15,CUST-00838,External SSD,East,3,122.57
ORD-000109,2025-01-26,CUST-00030,Webcam,West,1,64.67
ORD-000110,2025-11-05,CUST-00359,Standing Desk Converter,North,2,160.54
ORD-000111,2025-02-22,CUST-00086,External SSD,West,2,129.4
ORD-000112,2024-10-15,CUST-00747,Mechanical Keyboard,South,2,105.6
ORD-000113,2025-01-13,CUST-00313,Webcam,East,3,66.35
ORD-000114,2025-05-04,CUST-00365,Noise-Canceling Headphones,West,1,168.58
ORD-000115,2024-08-18,CUST-00905,External SSD,South,4,123.64
ORD-000116,2024-02-10,CUST-00698,Office Chair,North,4,272.79
ORD-000117,2024-01-28,CUST-00131,Laptop Stand,North,2,41.19
ORD-000118,2024-05-14,CUST-00803,USB-C Hub,North,3,50.56
ORD-000119,2024-07-19,CUST-00789,Mechanical Keyboard,East,2,84.36
ORD-000120,2024-02-02,CUST-00351,External SSD,North,3,129.41
ORD-000121,2024-02-17,CUST-00180,Wireless Mouse,North,1,24.06
ORD-000122,2025-05-17,CUST-01187,Standing Desk Converter,East,2,207.84
ORD-000123,2025-02-10,CUST-01120,Webcam,East,1,59.37
ORD-000124,2025-07-27,CUST-00774,Mechanical Keyboard,South,1,87.92
ORD-000125,2025-12-28,CUST-00510,USB-C Hub,East,4,46.07
ORD-000126,2024-04-08,CUST-00365,External SSD,East,2,115.86
ORD-000127,2025-11-14,CUST-00981,Wireless Mouse,North,3,25.97
ORD-000128,2025-12-26,CUST-00353,Webcam,East,1,62.82
ORD-000129,2025-06-30,CUST-00800,USB-C Hub,West,1,43.99
ORD-000130,2025-09-04,CUST-01107,Webcam,South,2,59.83
ORD-000131,2025-04-06,CUST-00412,USB-C Hub,West,1,42.32
ORD-000132,2025-10-04,CUST-00735,External SSD,West,1,108.19
ORD-000133,2024-01-05,CUST-00981,Laptop Stand,West,1,34.9
ORD-000134,2024-08-05,CUST-00118,27in Monitor,East,2,240.29
ORD-000135,2025-05-17,CUST-00482,Office Chair,East,1,283.29
ORD-000136,2025-02-01,CUST-00192,Laptop Stand,West,2,37.58
ORD-000137,2025-01-27,CUST-00591,27in Monitor,East,3,240.15
ORD-000138,2024-07-25,CUST-00590,External SSD,South,4,119.33
ORD-000139,2024-01-15,CUST-00659,External SSD,North,1,118.18
ORD-000140,2025-07-07,CUST-00107,External SSD,South,2,115.15
ORD-000141,2025-04-05,CUST-00382,27in Monitor,North,1,224.41
ORD-000142,2025-11-21,CUST-00783,Wireless Mouse,South,1,23.21
ORD-000143,2025-07-28,CUST-00390,Mechanical Keyboard,South,1,92.38
ORD-000144,2024-08-28,CUST-00244,27in Monitor,West,2,209.23
ORD-000145,2025-07-17,CUST-00585,Standing Desk Converter,West,4,161.88
ORD-000146,2024-04-05,CUST-00869,Mechanical Keyboard,West,3,97.62
ORD-000147,2025-04-29,CUST-00468,Standing Desk Converter,West,3,197.76
ORD-000148,2025-02-10,CUST-00866,USB-C Hub,West,2,38.79
ORD-000149,2024-08-18,CUST-00934,Office Chair,West,2,246.52
ORD-000150,2025-10-16,CUST-00604,Office Chair,North,2,265.74
ORD-000151,2024-06-19,CUST-01015,Office Chair,South,2,254.74
ORD-000152,2025-06-24,CUST-01097,Noise-Canceling Headphones,East,2,212.41
ORD-000153,2024-02-05,CUST-00860,27in Monitor,North,1,209.21
ORD-000154,2025-06-08,CUST-00013,Wireless Mouse,West,4,22.96
ORD-000155,2024-06-08,CUST-00299,USB-C Hub,North,1,51.06
ORD-000156,2025-11-29,CUST-01100,External SSD,South,2,115.88
ORD-000157,2024-08-30,CUST-01075,27in Monitor,North,2,247.87
ORD-000158,2024-03-26,CUST-00787,Standing Desk Converter,East,1,187.82
ORD-000159,2025-07-31,CUST-00149,Standing Desk Converter,East,2,210.61
ORD-000160,2025-11-12,CUST-00122,Mechanical Keyboard,East,4,88.88
ORD-000161,2025-07-10,CUST-00538,External SSD,South,1,116.42
ORD-000162,2025-07-27,CUST-01180,Noise-Canceling Headphones,East,1,166.72
ORD-000163,2025-10-07,CUST-00376,Standing Desk Converter,East,2,218.43
ORD-000164,2024-01-28,CUST-00082,Office Chair,West,2,244.32
ORD-000165,2025-09-11,CUST-00492,Mechanical Keyboard,South,2,79.19
ORD-000166,2025-07-09,CUST-00356,Laptop Stand,North,2,40.72
ORD-000167,2024-12-05,CUST-00925,Webcam,North,1,65.06
ORD-000168,2024-11-26,CUST-01068,Mechanical Keyboard,West,4,101.41
ORD-000169,2025-10-01,CUST-01005,Mechanical Keyboard,South,3,83.17
ORD-000170,2025-05-20,CUST-00123,Standing Desk Converter,North,1,205.17
ORD-000171,2024-12-13,CUST-00708,27in Monitor,North,1,251.98
ORD-000172,2025-04-17,CUST-00330,External SSD,West,2,109.03
ORD-000173,2024-08-18,CUST-00991,Laptop Stand,East,2,36.27
ORD-000174,2024-07-08,CUST-00323,Office Chair,East,1,253.08
ORD-000175,2024-08-12,CUST-01135,27in Monitor,East,4,215.21
ORD-000176,2025-01-19,CUST-00770,USB-C Hub,North,1,43.31
ORD-000177,2025-01-11,CUST-01113,Standing Desk Converter,South,2,192.55
ORD-000178,2024-10-09,CUST-00433,External SSD,South,1,115.37
ORD-000179,2025-09-24,CUST-00710,Wireless Mouse,South,1,22.69
ORD-000180,2025-09-19,CUST-00794,Office Chair,West,2,289.53
ORD-000181,2024-09-15,CUST-00712,27in Monitor,East,1,223.11
ORD-000182,2024-12-24,CUST-01123,Office Chair,East,2,229.68
ORD-000183,2025-12-10,CUST-00539,External SSD,North,4,116.83
ORD-000184,2025-03-31,CUST-00601,USB-C Hub,South,1,38.88
ORD-000185,2025-02-14,CUST-01170,USB-C Hub,North,2,44.03
ORD-000186,2025-10-10,CUST-00257,Office Chair,East,1,270.0
ORD-000187,2024-11-13,CUST-00871,USB-C Hub,South,1,46.28
ORD-000188,2025-11-07,CUST-00899,27in Monitor,South,1,230.18
ORD-000189,2024-08-12,CUST-00809,Office Chair,East,3,249.5
ORD-000190,2024-08-21,CUST-00677,27in Monitor,West,2,213.73
ORD-000191,2025-11-14,CUST-00271,USB-C Hub,North,2,47.98
ORD-000192,2025-10-25,CUST-00550,Noise-Canceling Headphones,North,1,198.2
ORD-000193,2025-01-08,CUST-01138,Webcam,North,1,61.11
ORD-000194,2025-11-02,CUST-00568,Wireless Mouse,East,2,26.55
ORD-000195,2025-08-30,CUST-00986,Standing Desk Converter,North,1,186.93
ORD-000196,2025-04-16,CUST-00359,External SSD,East,2,100.36
ORD-000197,2024-08-20,CUST-01193,Wireless Mouse,East,4,27.08
ORD-000198,2025-11-22,CUST-00798,27in Monitor,South,2,225.32
ORD-000199,2024-04-22,CUST-00887,Webcam,North,4,61.32
ORD-000200,2025-05-11,CUST-00211,Webcam,South,4,59.62
ORD-000201,2025-03-17,CUST-00287,Noise-Canceling Headphones,North,3,202.55
ORD-000202,2025-07-17,CUST-00743,Laptop Stand,North,2,36.03
ORD-000203,2024-09-24,CUST-01047,Laptop Stand,East,1,27.17
ORD-000204,2025-05-24,CUST-01133,27in Monitor,East,3,186.11
ORD-000205,2025-01-20,CUST-00296,Webcam,North,3,68.42
ORD-000206,2025-01-21,CUST-00006,Noise-Canceling Headphones,East,1,190.43
ORD-000207,2024-04-22,CUST-00550,Standing Desk Converter,North,1,213.48
ORD-000208,2025-09-04,CUST-00681,Standing Desk Converter,East,2,214.72
ORD-000209,2025-09-16,CUST-00795,Wireless Mouse,West,1,27.86
ORD-000210,2024-03-21,CUST-00203,Office Chair,West,1,230.69
ORD-000211,2025-11-29,CUST-00325,External SSD,South,4,115.7
ORD-000212,2024-04-22,CUST-00825,Noise-Canceling Headphones,East,2,168.93
ORD-000213,2024-01-02,CUST-00244,Office Chair,West,4,263.4
ORD-000214,2025-10-03,CUST-00327,USB-C Hub,North,1,41.33
ORD-000215,2024-08-07,CUST-00987,Standing Desk Converter,East,1,192.56
ORD-000216,2025-07-19,CUST-01071,27in Monitor,West,1,189.68
ORD-000217,2024-08-12,CUST-00761,Noise-Canceling Headphones,South,2,171.5
ORD-000218,2025-01-19,CUST-01037,Webcam,South,3,65.66
ORD-000219,2025-02-06,CUST-00907,Mechanical Keyboard,East,3,85.94
ORD-000220,2025-09-29,CUST-00365,Mechanical Keyboard,North,2,87.56
ORD-000221,2024-05-09,CUST-00073,Standing Desk Converter,South,2,188.08
ORD-000222,2024-02-22,CUST-01070,Noise-Canceling Headphones,South,2,178.97
ORD-000223,2025-11-14,CUST-00274,Office Chair,North,2,274.52
ORD-000224,2025-12-30,CUST-00208,Office Chair,North,1,250.77
ORD-000225,2025-11-02,CUST-00124,Noise-Canceling Headphones,South,2,167.91
ORD-000226,2025-12-10,CUST-01034,External SSD,North,1,124.28
ORD-000227,2025-02-19,CUST-00543,Standing Desk Converter,East,2,207.0
ORD-000228,2024-09-03,CUST-00060,USB-C Hub,South,4,41.52
ORD-000229,2025-03-14,CUST-00899,Wireless Mouse,North,2,25.34
ORD-000230,2024-07-21,CUST-00886,Noise-Canceling Headphones,South,1,149.09
ORD-000231,2024-07-02,CUST-00782,External SSD,North,1,119.29
ORD-000232,2024-05-02,CUST-00442,Mechanical Keyboard,South,1,89.62
ORD-000233,2025-02-04,CUST-00911,Office Chair,South,2,272.54
ORD-000234,2024-10-20,CUST-01026,27in Monitor,East,1,208.22
ORD-000235,2024-10-06,CUST-00832,Standing Desk Converter,South,2,188.76
ORD-000236,2025-09-01,CUST-01008,Office Chair,South,2,260.34
ORD-000237,2024-07-16,CUST-00626,USB-C Hub,East,2,38.93
ORD-000238,2025-05-25,CUST-01189,External SSD,South,1,105.77
ORD-000239,2024-05-23,CUST-00998,Mechanical Keyboard,East,1,94.55
ORD-000240,2025-08-31,CUST-00734,USB-C Hub,West,1,45.22
ORD-000241,2024-07-19,CUST-00091,Wireless Mouse,North,1,25.95
ORD-000242,2024-05-03,CUST-00167,Laptop Stand,West,4,32.4
ORD-000243,2024-07-05,CUST-00959,27in Monitor,West,2,194.51
ORD-000244,2024-11-21,CUST-00207,Wireless Mouse,South,1,25.44
ORD-000245,2025-04-08,CUST-01089,Standing Desk Converter,West,2,192.54
ORD-000246,2024-12-14,CUST-00516,Office Chair,West,2,219.64
ORD-000247,2025-10-21,CUST-01181,Webcam,West,1,59.53
ORD-000248,2025-02-06,CUST-00747,Webcam,East,3,69.23
ORD-000249,2024-12-11,CUST-00306,Mechanical Keyboard,East,3,95.26
ORD-000250,2025-05-25,CUST-00395,Noise-Canceling Headphones,North,2,172.12
ORD-000251,2024-05-26,CUST-01098,Office Chair,South,1,258.2
ORD-000252,2024-05-27,CUST-00187,Webcam,North,1,60.78
ORD-000253,2025-12-11,CUST-00623,External SSD,South,4,133.09
ORD-000254,2025-05-03,CUST-00730,Laptop Stand,West,1,31.85
ORD-000255,2025-10-01,CUST-00240,Mechanical Keyboard,North,1,102.34
ORD-000256,2025-07-04,CUST-00533,27in Monitor,East,1,200.98
ORD-000257,2024-12-03,CUST-00141,Wireless Mouse,North,2,26.44
ORD-000258,2025-10-02,CUST-00139,Wireless Mouse,North,3,27.08
ORD-000259,2025-04-17,CUST-00459,Webcam,East,1,66.19
ORD-000260,2024-05-30,CUST-00070,Mechanical Keyboard,North,2,98.4
ORD-000261,2025-02-18,CUST-00385,Webcam,West,1,52.68
ORD-000262,2024-10-24,CUST-00630,Wireless Mouse,North,2,25.75
ORD-000263,2025-09-02,CUST-00198,Standing Desk Converter,North,2,203.7
ORD-000264,2024-09-19,CUST-00205,USB-C Hub,North,2,50.38
ORD-000265,2024-05-23,CUST-00568,Office Chair,South,1,231.76
ORD-000266,2024-12-11,CUST-00982,Mechanical Keyboard,North,1,85.74
ORD-000267,2025-09-15,CUST-00805,External SSD,South,2,103.83
ORD-000268,2025-07-25,CUST-00859,Webcam,East,1,60.6
ORD-000269,2024-01-02,CUST-00882,Webcam,North,1,63.14
ORD-000270,2024-10-30,CUST-00974,Noise-Canceling Headphones,North,2,190.66
ORD-000271,2024-09-10,CUST-00640,Laptop Stand,West,1,34.26
ORD-000272,2025-10-13,CUST-00325,27in Monitor,South,2,213.65
ORD-000273,2025-03-28,CUST-00442,Webcam,South,1,58.3
ORD-000274,2024-02-06,CUST-00804,External SSD,East,2,118.94
ORD-000275,2024-06-08,CUST-00288,27in Monitor,East,4,189.58
ORD-000276,2024-01-09,CUST-00226,Laptop Stand,West,3,32.32
ORD-000277,2024-08-20,CUST-01088,Noise-Canceling Headphones,West,3,187.74
ORD-000278,2024-04-08,CUST-00967,Webcam,North,2,59.6
ORD-000279,2025-10-20,CUST-00938,27in Monitor,North,1,217.52
ORD-000280,2024-07-26,CUST-00560,27in Monitor,South,4,237.44
ORD-000281,2024-05-10,CUST-00714,Standing Desk Converter,West,1,206.34
ORD-000282,2025-02-07,CUST-00498,27in Monitor,North,4,213.36
ORD-000283,2024-05-31,CUST-00849,Wireless Mouse,East,1,28.26
ORD-000284,2024-02-23,CUST-00926,Laptop Stand,East,3,34.8
ORD-000285,2024-04-29,CUST-00060,External SSD,South,1,125.13
ORD-000286,2025-11-03,CUST-00257,Noise-Canceling Headphones,South,1,175.91
ORD-000287,2025-09-19,CUST-00577,Laptop Stand,South,1,32.54
ORD-000288,2025-08-09,CUST-00239,USB-C Hub,North,1,49.32
ORD-000289,2025-09-16,CUST-00038,Wireless Mouse,South,2,22.73
ORD-000290,2025-02-23,CUST-00025,Noise-Canceling Headphones,North,4,183.07
ORD-000291,2025-02-25,CUST-00410,USB-C Hub,East,1,45.44
ORD-000292,2024-04-13,CUST-00461,27in Monitor,West,1,213.22
ORD-000293,2024-09-10,CUST-00988,Laptop Stand,East,1,31.5
ORD-000294,2024-08-14,CUST-00357,External SSD,East,2,126.11
ORD-000295,2024-04-21,CUST-00383,Noise-Canceling Headphones,South,1,189.39
ORD-000296,2025-05-24,CUST-01182,Office Chair,North,4,271.32
ORD-000297,2025-04-17,CUST-00569,USB-C Hub,North,1,43.53
ORD-000298,2024-04-08,CUST-01072,Standing Desk Converter,South,1,218.49
ORD-000299,2024-06-01,CUST-00433,Wireless Mouse,West,3,24.54
ORD-000300,2024-12-03,CUST-00056,Wireless Mouse,West,1,24.5
ORD-000301,2025-12-06,CUST-00577,Standing Desk Converter,South,2,142.63
ORD-000302,2024-06-11,CUST-00268,Wireless Mouse,South,3,22.07
ORD-000303,2025-12-20,CUST-00069,Mechanical Keyboard,South,3,96.39
ORD-000304,2025-11-11,CUST-00902,Mechanical Keyboard,South,4,111.43
ORD-000305,2024-06-09,CUST-00793,Noise-Canceling Headphones,East,3,200.5
ORD-000306,2025-08-02,CUST-00257,Office Chair,East,1,240.71
ORD-000307,2025-02-01,CUST-00672,External SSD,West,2,124.57
ORD-000308,2024-10-03,CUST-00490,27in Monitor,East,4,215.29
ORD-000309,2025-05-18,CUST-00746,Mechanical Keyboard,South,1,85.67
ORD-000310,2025-01-26,CUST-00049,USB-C Hub,West,4,40.31
ORD-000311,2024-05-14,CUST-00316,Standing Desk Converter,East,1,199.88
ORD-000312,2024-07-13,CUST-00413,Laptop Stand,South,3,30.82
ORD-000313,2025-02-04,CUST-00434,Office Chair,South,3,207.9
ORD-000314,2025-10-01,CUST-01026,External SSD,West,2,116.07
ORD-000315,2024-02-02,CUST-01169,USB-C Hub,South,1,35.07
ORD-000316,2025-11-18,CUST-00420,Office Chair,East,4,245.62
ORD-000317,2025-04-04,CUST-00844,Standing Desk Converter,South,1,195.13
ORD-000318,2025-04-14,CUST-00916,USB-C Hub,West,2,49.07
ORD-000319,2025-01-09,CUST-00434,Standing Desk Converter,East,1,201.69
ORD-000320,2024-01-22,CUST-00643,External SSD,East,3,118.96
ORD-000321,2025-10-31,CUST-00057,Wireless Mouse,West,3,23.91
ORD-000322,2024-02-07,CUST-00964,27in Monitor,West,2,203.69
ORD-000323,2024-08-17,CUST-00977,27in Monitor,West,4,246.16
ORD-000324,2024-12-30,CUST-00046,Webcam,North,1,55.58
ORD-000325,,CUST-01194,Mechanical Keyboard,South,1,89.08
ORD-000326,2025-03-13,CUST-00417,Noise-Canceling Headphones,South,1,184.78
ORD-000327,2024-10-09,CUST-00848,Laptop Stand,North,1,30.32
ORD-000328,2024-01-27,CUST-00139,Standing Desk Converter,West,4,153.29
ORD-000329,2024-08-13,CUST-00247,Webcam,West,1,62.84
ORD-000330,2024-10-03,CUST-01172,Webcam,South,2,51.96
ORD-000331,2025-08-31,CUST-00230,Webcam,North,3,63.33
ORD-000332,2024-10-10,CUST-00792,Standing Desk Converter,North,4,181.99
ORD-000333,2025-04-25,CUST-00637,External SSD,South,4,120.12
ORD-000334,2025-03-28,CUST-00374,Standing Desk Converter,North,2,202.01
ORD-000335,2025-10-20,CUST-01104,27in Monitor,East,1,240.06
ORD-000336,2025-05-30,CUST-00738,Standing Desk Converter,East,2,198.7
ORD-000337,2025-06-30,CUST-01089,External SSD,West,1,122.16
ORD-000338,2024-07-10,CUST-00088,Office Chair,North,4,305.07
ORD-000339,2024-02-18,CUST-01112,27in Monitor,South,1,198.75
ORD-000340,2025-05-26,CUST-00713,Wireless Mouse,West,3,25.1
ORD-000341,2024-01-17,CUST-00601,USB-C Hub,South,1,47.31
ORD-000342,2024-06-20,CUST-00539,Wireless Mouse,North,1,20.27
ORD-000343,2024-08-07,CUST-00214,Noise-Canceling Headphones,North,1,208.02
ORD-000344,2024-06-06,CUST-00074,Wireless Mouse,West,1,24.67
ORD-000345,2025-04-21,CUST-00061,27in Monitor,East,1,229.83
ORD-000346,2024-02-15,CUST-00698,Wireless Mouse,West,3,24.01
ORD-000347,2025-01-07,CUST-00012,Mechanical Keyboard,North,3,95.96
ORD-000348,2025-06-01,CUST-00814,Wireless Mouse,West,1,25.53
ORD-000349,2024-04-08,CUST-00032,Laptop Stand,East,1,32.17
ORD-000350,2024-02-06,CUST-01184,Noise-Canceling Headphones,North,4,178.88
ORD-000351,2024-10-06,CUST-01001,USB-C Hub,West,3,46.81
ORD-000352,2024-12-14,CUST-00237,External SSD,East,1,135.46
ORD-000353,2025-05-11,CUST-00558,Laptop Stand,West,1,33.95
ORD-000354,2024-10-28,CUST-01104,Laptop Stand,West,1,31.38
ORD-000355,2024-06-29,CUST-00647,Laptop Stand,South,1,35.27
ORD-000356,2025-08-29,CUST-00987,External SSD,East,2,118.28
ORD-000357,2024-04-08,CUST-00820,Mechanical Keyboard,South,1,93.86
ORD-000358,2025-11-30,CUST-00473,Mechanical Keyboard,East,1,85.48
ORD-000359,2024-04-25,CUST-00112,External SSD,East,2,108.01
ORD-000360,2024-07-09,CUST-00383,Office Chair,West,4,292.64
ORD-000361,2024-09-09,CUST-00017,Standing Desk Converter,North,1,188.29
ORD-000362,2024-06-09,CUST-00493,Standing Desk Converter,East,4,178.0
ORD-000363,2024-09-12,CUST-00926,Mechanical Keyboard,South,3,83.37
ORD-000364,2024-11-18,CUST-00117,27in Monitor,North,1,252.17
ORD-000365,2024-05-07,CUST-00880,External SSD,West,2,142.02
ORD-000366,2024-01-18,CUST-00115,Mechanical Keyboard,North,2,86.84
ORD-000367,2025-07-19,CUST-00814,27in Monitor,North,4,223.07
ORD-000368,2025-07-23,CUST-00644,Standing Desk Converter,North,4,200.74
ORD-000369,2024-11-18,CUST-00336,Wireless Mouse,South,3,20.85
ORD-000370,2025-11-16,CUST-00922,Mechanical Keyboard,South,2,84.6
ORD-000371,2025-09-17,CUST-00147,Noise-Canceling Headphones,East,3,209.29
ORD-000372,2024-10-14,CUST-00122,Wireless Mouse,East,1,24.59
ORD-000373,2025-10-24,CUST-00081,Wireless Mouse,South,3,26.98
ORD-000374,2025-09-30,CUST-00685,Mechanical Keyboard,South,4,87.72
ORD-000375,2024-06-03,CUST-00662,27in Monitor,North,1,188.03
ORD-000376,2025-05-04,CUST-00375,Noise-Canceling Headphones,None,1,196.23
